Zip,Count
15779,1
15801,5
15857,2
15901,23
15943,1
15948,12
15949,6
16001,3
16002,1
16045,16
16046,3
16057,1
16063,6
16066,1
16101,4
16117,7
16121,1
16125,1
16127,2
16131,6
16146,1
16214,4
16236,6
16254,4
16319,3
16323,4
16343,1
16344,4
16353,5
16354,9
16365,1
16401,1
16438,1
16443,1
16501,3
16506,2
16507,26
16509,8
16601,3
16602,29
16636,2
16648,1
16652,4
16669,1
16678,4
16686,1
16730,3
16735,2
16801,7
16802,21
16803,7
16830,1
16840,1
16879,1
16901,1
16926,1
16933,2
16935,3
17003,1
17010,3
17011,2
17013,4
17015,1
17016,1
17019,6
17033,12
17036,2
17042,4
17046,17
17050,2
17053,2
17055,12
17068,3
17069,5
17070,1
17093,9
17097,2
17101,3
17102,17
17103,32
17109,1
17111,11
17201,4
17236,1
17241,1
17251,1
17257,3
17268,27
17309,4
17314,1
17325,25
17331,7
17340,6
17401,7
17402,5
17403,4
17404,1
17512,7
17522,1
17527,7
17543,5
17545,18
17557,3
17563,1
17566,7
17576,3
17603,16
17744,12
17748,10
17751,1
17752,10
17756,4
17815,3
17821,1
17836,1
17837,1
17865,1
17866,1
17868,3
17870,1
17929,1
17931,1
17948,3
17951,2
17972,1
18011,16
18015,3
18017,1
18018,15
18020,3
18031,1
18040,1
18041,1
18042,30
18045,4
18049,3
18052,19
18059,2
18062,2
18069,2
18071,4
18072,2
18073,2
18078,1
18080,2
18081,1
18087,3
18088,2
18092,1
18102,42
18104,16
18201,4
18210,1
18216,1
18225,4
18229,1
18232,1
18235,14
18237,10
18255,4
18301,7
18302,5
18321,5
18324,1
18327,1
18330,5
18332,29
18335,1
18336,21
18337,13
18344,22
18347,1
18360,17
18371,1
18372,1
18424,2
18434,8
18445,3
18452,2
18458,6
18462,1
18464,10
18470,1
18471,7
18503,33
18504,3
18505,1
18508,1
18509,9
18510,1
18512,1
18519,1
18621,1
18636,3
18640,2
18642,3
18643,4
18651,5
18660,18
18701,32
18702,7
18704,1
18706,1
18707,2
18810,1
18837,1
18840,1
18842,1
18848,4
18901,18
18914,5
18915,2
18929,1
18930,2
18938,2
18940,19
18944,6
18951,1
18954,2
18960,1
18964,10
18966,18
18974,1
18976,3
18977,1
18980,1
19001,7
19002,2
19003,10
19004,19
19006,3
19007,20
19008,42
19009,9
19010,18
19012,1
19013,29
19014,6
19015,3
19018,2
19020,27
19021,6
19022,1
19023,17
19025,1
19026,23
19027,23
19030,1
19031,3
19032,2
19033,8
19034,5
19036,4
19038,18
19040,10
19041,3
19044,19
19046,9
19047,76
19050,7
19053,10
19054,1
19055,17
19057,4
19061,1
19063,39
19064,55
19066,17
19067,7
19070,10
19072,4
19073,22
19074,2
19075,1
19078,5
19079,1
19081,13
19082,34
19083,19
19085,9
19086,10
19087,24
19090,1
19094,2
19096,13
19102,2196
19103,44
19104,36
19106,12
19107,62
19111,44
19113,6
19114,90
19115,7
19116,13
19118,2
19119,27
19120,40
19121,8
19122,14
19123,20
19124,11
19125,18
19126,1
19127,23
19128,50
19129,14
19130,5
19131,22
19132,25
19133,84
19134,10
19135,16
19136,20
19137,4
19139,16
19140,3
19141,37
19142,10
19143,13
19144,13
19145,29
19146,8
19147,55
19148,37
19149,6
19150,14
19151,11
19152,29
19153,1
19154,3
19301,14
19312,1
19317,7
19320,11
19333,16
19335,7
19341,23
19342,22
19344,1
19345,10
19348,6
19350,1
19355,4
19365,2
19373,4
19380,5
19382,12
19383,17
19401,77
19403,55
19405,10
19406,71
19422,44
19425,2
19426,20
19428,44
19436,8
19438,3
19440,9
19444,3
19446,62
19454,4
19456,16
19460,31
19462,36
19464,33
19465,8
19468,7
19473,5
19510,3
19512,5
19520,7
19522,1
19523,3
19525,9
19536,1
19539,1
19540,1
19543,11
19545,9
19562,2
19601,5
19602,51
19606,6
19609,3
19610,9
19611,5
19701,6
19702,16
19703,20
19706,2
19707,5
19709,9
19710,1
19711,2
19713,23
19717,18
19720,25
19734,1
19736,1
19801,5
19802,32
19803,1
19804,7
19805,1
19806,38
19808,7
19809,3
19810,5
19901,29
19902,1
19904,3
19933,5
19934,1
19938,2
19947,3
19952,2
19953,1
19954,13
19956,1
19958,6
19964,1
19966,15
19970,7
19971,7
19973,2
19977,5
20001,304
20002,118
20003,51
20004,78
20005,158
20006,3573
20007,149
20008,93
20009,179
20010,159
20011,86
20012,260
20015,23
20016,126
20017,7
20018,1
20019,21
20020,47
20024,21
20032,42
20036,164
20037,46
20052,174
20057,4
20064,4
20105,26
20109,6
20110,63
20111,1
20112,2
20120,11
20121,33
20136,13
20147,109
20148,15
20151,25
20152,6
20155,21
20164,29
20165,3
20166,6
20169,2
20170,68
20171,13
20175,35
20176,49
20184,2
20186,1
20187,4
20190,87
20191,22
20194,2
20197,2
20307,2
20317,11
20373,1
20390,50
20601,50
20602,45
20603,47
20607,12
20613,4
20616,1
20619,12
20620,3
20623,17
20624,2
20629,12
20636,1
20637,6
20639,1
20646,32
20650,3
20653,18
20657,21
20658,1
20659,5
20662,2
20670,1
20678,22
20680,2
20686,1
20688,6
20693,3
20695,3
20705,54
20706,58
20707,151
20708,24
20710,29
20711,1
20712,5
20715,19
20716,21
20720,112
20721,9
20722,1
20723,10
20724,35
20732,7
20733,9
20735,84
20736,1
20737,6
20740,13
20742,50
20743,15
20744,26
20745,30
20746,67
20747,37
20748,98
20754,12
20755,2
20759,1
20762,14
20763,2
20769,4
20770,117
20772,16
20774,160
20781,34
20783,31
20784,11
20785,17
20794,5
20814,84
20815,177
20816,5
20817,45
20818,9
20832,48
20833,1
20837,8
20841,1
20850,344
20851,11
20852,40
20853,12
20854,20
20855,49
20860,7
20866,9
20871,21
20872,16
20874,43
20876,135
20877,29
20878,32
20879,11
20882,2
20886,46
20895,11
20896,2
20899,162
20901,9
20902,73
20903,13
20904,51
20905,55
20906,72
20910,94
20912,60
21001,41
21005,4
21009,1
21012,5
21014,42
21015,3
21028,8
21029,2
21030,3
21031,8
21032,211
21034,1
21035,1
21037,12
21040,8
21042,23
21043,56
21044,107
21045,5
21046,22
21050,12
21054,14
21060,32
21061,99
21071,1
21074,2
21075,13
21076,20
21077,15
21078,2
21082,2
21084,9
21085,1
21090,32
21093,25
21108,36
21113,40
21114,3
21117,62
21120,3
21122,57
21128,11
21131,2
21133,7
21140,5
21144,11
21146,33
21153,2
21154,2
21156,2
21157,43
21158,12
21162,18
21201,4
21202,713
21204,17
21205,2
21206,6
21207,34
21208,48
21209,12
21210,19
21211,17
21212,12
21214,2
21215,28
21216,6
21218,35
21220,31
21221,7
21222,38
21223,1
21224,5
21225,20
21226,2
21227,18
21228,52
21229,18
21230,31
21231,35
21234,46
21236,13
21237,80
21239,32
21244,39
21250,1
21252,23
21286,10
21401,7
21402,128
21403,8
21409,4
21502,6
21543,3
21601,29
21617,2
21619,1
21623,1
21632,2
21638,2
21654,1
21658,3
21701,8
21702,6
21703,15
21704,98
21727,4
21734,1
21740,39
21742,2
21754,4
21755,2
21756,2
21757,1
21771,4
21776,1
21784,7
21793,20
21794,3
21801,24
21804,1
21810,1
21811,1
21817,1
21821,1
21842,12
21901,2
21902,2
21903,1
21911,2
21915,1
21921,35
22003,44
22015,20
22025,7
22026,10
22027,20
22030,274
22031,53
22032,53
22033,83
22039,2
22041,24
22042,52
22043,38
22044,23
22046,87
22060,15
22066,19
22079,26
22101,94
22102,27
22124,13
22125,107
22134,11
22150,61
22151,19
22152,7
22153,29
22180,94
22181,48
22182,70
22191,42
22192,39
22193,53
22201,95
22202,47
22203,74
22204,60
22205,5
22206,7
22207,10
22209,393
22211,3
22213,6
22301,28
22302,30
22303,45
22304,49
22305,8
22306,74
22307,12
22308,15
22309,30
22310,23
22311,52
22312,42
22314,342
22315,45
22401,89
22405,13
22406,3
22407,16
22408,4
22436,1
22460,1
22480,10
22482,8
22485,28
22520,2
22546,1
22551,1
22553,3
22554,41
22556,7
22560,1
22601,35
22602,7
22603,1
22625,2
22630,37
22655,1
22657,1
22664,3
22701,5
22719,1
22720,1
22801,1
22807,2
22824,1
22901,1
22902,7
22903,1
22904,28
22911,8
22938,3
22960,1
22980,21
23059,8
23060,9
23061,7
23062,4
23075,2
23093,2
23111,2
23112,2
23114,24
23115,2
23116,1
23120,1
23150,1
23168,4
23181,1
23185,6
23187,19
23188,1
23219,9
23220,140
23221,12
23222,12
23223,3
23225,4
23226,12
23228,3
23229,2
23230,3
23231,1
23233,3
23234,1
23235,2
23238,3
23294,4
23301,1
23320,11
23321,1
23323,20
23324,4
23325,2
23336,1
23413,1
23416,1
23420,1
23430,11
23432,2
23434,5
23451,71
23453,8
23454,2
23456,3
23460,1
23461,7
23462,3
23464,3
23502,1
23504,1
23505,2
23509,2
23510,22
23517,2
23518,6
23523,24
23601,2
23602,11
23606,4
23607,28
23608,10
23661,1
23666,6
23669,14
23703,5
23704,7
23801,7
23803,5
23805,2
23806,23
23831,5
23832,1
23847,11
23851,2
23860,1
23874,1
23909,2
23919,1
23930,1
23944,9
23970,1
24011,24
24012,4
24016,5
24020,1
24058,1
24060,12
24064,1
24073,6
24078,1
24104,1
24112,8
24124,14
24132,1
24141,1
24142,1
24151,1
24153,1
24201,6
24210,1
24211,4
24219,1
24230,1
24266,1
24301,3
24340,6
24343,1
24354,2
24361,1
24366,13
24382,1
24401,7
24416,1
24450,4
24457,1
24459,1
24474,1
24482,5
24501,25
24502,2
24503,8
24520,2
24522,36
24523,2
24530,1
